"","Measurement.Time","Value"
"190",2017-11-17,17.641
"191",2017-11-17,17.6645
"192",2017-11-17,17.59325
"193",2017-11-18,17.52175
"194",2017-11-18,17.56925
"195",2017-11-18,17.16475
"196",2017-11-18,17.617
"197",2017-11-18,17.49825
"198",2017-11-18,17.688
"199",2017-11-18,17.474
"200",2017-11-18,17.61675
"201",2017-11-18,17.593
"202",2017-11-18,17.165
"203",2017-11-18,17.09375
"204",2017-11-18,16.784
"205",2017-11-18,16.594
"206",2017-11-18,16.475
"207",2017-11-18,16.54625
"208",2017-11-18,16.73675
"209",2017-11-18,16.85575
"210",2017-11-18,16.97475
"211",2017-11-18,17.16525
"212",2017-11-18,17.33175
"213",2017-11-18,17.64125
"214",2017-11-18,18.0215
"215",2017-11-18,18.521
"216",2017-11-18,19.044
"217",2017-11-18,20.187
"218",2017-11-18,20.1145
"219",2017-11-18,21.06825
"220",2017-11-18,21.834
"221",2017-11-18,22.7715
"222",2017-11-18,23.561
"223",2017-11-18,23.415
"224",2017-11-18,23.8245
"225",2017-11-18,24.18725
"226",2017-11-18,24.04
"227",2017-11-18,24.015
"228",2017-11-18,23.5815
"229",2017-11-18,23.3645
"230",2017-11-18,23.028
"231",2017-11-18,22.95675
"232",2017-11-18,22.86525
"233",2017-11-18,20.973
"234",2017-11-18,20.426
"235",2017-11-18,19.61625
"236",2017-11-18,19.11625
"237",2017-11-18,18.92575
"238",2017-11-18,18.8305
"239",2017-11-18,18.7115
"240",2017-11-18,18.759
"241",2017-11-19,18.75875
"242",2017-11-19,18.61625
"243",2017-11-19,18.61625
"244",2017-11-19,18.6875
"245",2017-11-19,18.7585
"246",2017-11-19,18.6875
"247",2017-11-19,18.54475
"248",2017-11-19,18.6875
"249",2017-11-19,18.54475
"250",2017-11-19,18.37825
"251",2017-11-19,18.14075
"252",2017-11-19,17.92625
"253",2017-11-19,17.617
"254",2017-11-19,17.522
"255",2017-11-19,17.42675
"256",2017-11-19,17.45075
"257",2017-11-19,17.54625
"258",2017-11-19,17.76
"259",2017-11-19,18.069
"260",2017-11-19,18.47325
"261",2017-11-19,18.9255
"262",2017-11-19,19.306
"263",2017-11-19,19.806
"264",2017-11-19,19.94825
"265",2017-11-19,20.4245
"266",2017-11-19,20.92525
"267",2017-11-19,21.23475
"268",2017-11-19,21.9035
"269",2017-11-19,23.65725
"270",2017-11-19,23.32325
"271",2017-11-19,22.813
"272",2017-11-19,23.36575
"273",2017-11-19,23.24475
"274",2017-11-19,23.918
"275",2017-11-19,23.65575
"276",2017-11-19,23.5825
"277",2017-11-19,23.4125
"278",2017-11-19,22.932
"279",2017-11-19,22.9105
"280",2017-11-19,23.227
"281",2017-11-19,21.4505
"282",2017-11-19,20.998
"283",2017-11-19,21.09375
"284",2017-11-19,20.5445
"285",2017-11-19,19.9015
"286",2017-11-19,19.687
"287",2017-11-19,19.63975
"288",2017-11-19,19.592
"289",2017-11-20,19.54425
"290",2017-11-20,19.401
"291",2017-11-20,19.40125
"292",2017-11-20,19.47275
"293",2017-11-20,19.44875
"294",2017-11-20,19.449
"295",2017-11-20,19.32975
"296",2017-11-20,19.42475
"297",2017-11-20,19.211
"298",2017-11-20,19.23475
"299",2017-11-20,19.068
"300",2017-11-20,19.0205
"301",2017-11-20,18.9255
"302",2017-11-20,18.735
"303",2017-11-20,18.6875
"304",2017-11-20,18.5925
"305",2017-11-20,18.59225
"306",2017-11-20,18.8775
"307",2017-11-20,18.9725
"308",2017-11-20,19.306
"309",2017-11-20,19.615
"310",2017-11-20,19.87675
"311",2017-11-20,20.6635
"312",2017-11-20,21.28375
"313",2017-11-20,21.068
"314",2017-11-20,21.6885
"315",2017-11-20,21.97525
"316",2017-11-20,22.573
"317",2017-11-20,23.43875
"318",2017-11-20,24.01925
