"","Measurement.Time","Value","Loc"
"162",2017-11-17,15.712,"PC"
"163",2017-11-17,15.8315,"PC"
"164",2017-11-17,16.04575,"PC"
"165",2017-11-17,16.40325,"PC"
"166",2017-11-17,16.4035,"PC"
"167",2017-11-17,16.832,"PC"
"168",2017-11-17,17.30825,"PC"
"169",2017-11-17,18.069,"PC"
"170",2017-11-17,19.56825,"PC"
"171",2017-11-17,20.47375,"PC"
"172",2017-11-17,21.3115,"PC"
"173",2017-11-17,22.27075,"PC"
"174",2017-11-17,21.571,"PC"
"175",2017-11-17,22.86525,"PC"
"176",2017-11-17,23.29525,"PC"
"177",2017-11-17,24.06425,"PC"
"178",2017-11-17,23.27025,"PC"
"179",2017-11-17,23.41425,"PC"
"180",2017-11-17,23.0545,"PC"
"181",2017-11-17,22.69575,"PC"
"182",2017-11-17,22.168,"PC"
"183",2017-11-17,22.025,"PC"
"184",2017-11-17,20.496,"PC"
"185",2017-11-17,19.1165,"PC"
"186",2017-11-17,18.236,"PC"
"187",2017-11-17,17.99775,"PC"
"188",2017-11-17,17.76,"PC"
"189",2017-11-17,17.59325,"PC"
"190",2017-11-17,17.641,"PC"
"191",2017-11-17,17.6645,"PC"
"192",2017-11-17,17.59325,"PC"
"193",2017-11-18,17.52175,"PC"
"194",2017-11-18,17.56925,"PC"
"195",2017-11-18,17.16475,"PC"
"196",2017-11-18,17.617,"PC"
"197",2017-11-18,17.49825,"PC"
"198",2017-11-18,17.688,"PC"
"199",2017-11-18,17.474,"PC"
"200",2017-11-18,17.61675,"PC"
"201",2017-11-18,17.593,"PC"
"202",2017-11-18,17.165,"PC"
"203",2017-11-18,17.09375,"PC"
"204",2017-11-18,16.784,"PC"
"205",2017-11-18,16.594,"PC"
"206",2017-11-18,16.475,"PC"
"207",2017-11-18,16.54625,"PC"
"208",2017-11-18,16.73675,"PC"
"209",2017-11-18,16.85575,"PC"
"210",2017-11-18,16.97475,"PC"
"211",2017-11-18,17.16525,"PC"
"212",2017-11-18,17.33175,"PC"
"213",2017-11-18,17.64125,"PC"
"214",2017-11-18,18.0215,"PC"
"215",2017-11-18,18.521,"PC"
"216",2017-11-18,19.044,"PC"
"217",2017-11-18,20.187,"PC"
"218",2017-11-18,20.1145,"PC"
"219",2017-11-18,21.06825,"PC"
"220",2017-11-18,21.834,"PC"
"221",2017-11-18,22.7715,"PC"
"222",2017-11-18,23.561,"PC"
"223",2017-11-18,23.415,"PC"
"224",2017-11-18,23.8245,"PC"
"225",2017-11-18,24.18725,"PC"
"226",2017-11-18,24.04,"PC"
"227",2017-11-18,24.015,"PC"
"228",2017-11-18,23.5815,"PC"
"229",2017-11-18,23.3645,"PC"
"230",2017-11-18,23.028,"PC"
"231",2017-11-18,22.95675,"PC"
"232",2017-11-18,22.86525,"PC"
"233",2017-11-18,20.973,"PC"
"234",2017-11-18,20.426,"PC"
"235",2017-11-18,19.61625,"PC"
"236",2017-11-18,19.11625,"PC"
"237",2017-11-18,18.92575,"PC"
"238",2017-11-18,18.8305,"PC"
"239",2017-11-18,18.7115,"PC"
"240",2017-11-18,18.759,"PC"
"241",2017-11-19,18.75875,"PC"
"242",2017-11-19,18.61625,"PC"
"243",2017-11-19,18.61625,"PC"
"244",2017-11-19,18.6875,"PC"
"245",2017-11-19,18.7585,"PC"
"246",2017-11-19,18.6875,"PC"
"247",2017-11-19,18.54475,"PC"
"248",2017-11-19,18.6875,"PC"
