"","Value","Measurement.Time"
"217",2,2018-02-07
"218",2,2018-02-08
"219",0,2018-02-09
"220",0,2018-02-10
"221",0,2018-02-11
"222",0,2018-02-12
"223",0,2018-02-13
"224",0,2018-02-14
"225",0,2018-02-15
"226",0,2018-02-16
"227",0,2018-02-17
"228",0,2018-02-18
"229",0,2018-02-19
"230",0,2018-02-20
"231",0,2018-02-21
"232",0,2018-02-22
"233",2,2018-02-23
"234",2,2018-02-24
"235",2,2018-02-25
"236",2,2018-02-26
"237",2,2018-02-27
"238",2,2018-02-28
"239",2,2018-03-01
"240",2,2018-03-02
"241",2,2018-03-03
"242",2,2018-03-04
"243",2,2018-03-05
"244",2,2018-03-06
"245",2,2018-03-07
"246",2,2018-03-08
"247",2,2018-03-09
"248",0,2018-03-10
"249",0,2018-03-11
"250",0,2018-03-12
"251",0,2018-03-13
"252",0,2018-03-14
"253",0,2018-03-15
"254",0,2018-03-16
"255",0,2018-03-17
"256",0,2018-03-18
"257",0,2018-03-19
"258",0,2018-03-20
"259",0,2018-03-21
